PRODUCTID,PRODUCTNDC,PRODUCTTYPENAME,PROPRIETARYNAME,PROPRIETARYNAMESUFFIX,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,STARTMARKETINGDATE,ENDMARKETINGDATE,MARKETINGCATEGORYNAME,APPLICATIONNUMBER,LABELERNAME,SUBSTANCENAME,ACTIVE_NUMERATOR_STRENGTH,ACTIVE_INGRED_UNIT,PHARM_CLASSES,DEASCHEDULE
0023-5501_ed10f6cb-2240-46fc-9ea2-dbc983173a6f,0023-5501,HUMAN OTC DRUG,TOTAL DEFENSE REPAIR BROAD SPECTRUM SPF 50 Sunscreen,,"Homosalate, Octinoxate, Octisalate and Zinc Oxide",LOTION,TOPICAL,20150615,,OTC MONOGRAPH NOT FINAL,part352,"Allergan, Inc.",HOMOSALATE; OCTINOXATE; OCTISALATE; ZINC OXIDE,60; 75; 50; 10,mg/g; mg/g; mg/g; mg/g,,
0023-5665_037f4cd5-5e99-4d3d-9722-812054ce0546,0023-5665,HUMAN OTC DRUG,Essential Defense Vital Hydration Broad Spectrum SPF 36 Sunscreen Tinted,,"Octinoxate, Octisalate, Zinc Oxide",LOTION,TOPICAL,20160301,,OTC MONOGRAPH NOT FINAL,part352,"Allergan, Inc.",OCTINOXATE; OCTISALATE; ZINC OXIDE,75; 30; 80,mg/g; mg/g; mg/g,,
0023-5675_81c5789e-a2d0-4825-9e50-522562e73fce,0023-5675,HUMAN OTC DRUG,Essential Defense Mineral Shield Broad Spectrum SPF 32 TINTED Sunscreen,,Titanium Dioxide and Zinc Oxide,LOTION,TOPICAL,20160316,,OTC MONOGRAPH NOT FINAL,part352,"Allergan, Inc.",TITANIUM DIOXIDE; ZINC OXIDE,50; 60,mg/g; mg/g,,
0023-5679_89dfeebb-fab7-470c-9fa5-5aee87e7045b,0023-5679,HUMAN OTC DRUG,Essential Defense Active Broad Spectrum SPF 50 Sunscreen,,"Homosalate, Octinoxate, Octisalate and Zinc Oxide",LOTION,TOPICAL,20160316,,OTC MONOGRAPH NOT FINAL,part352,"Allergan, Inc.",HOMOSALATE; OCTINOXATE; OCTISALATE; ZINC OXIDE,60; 75; 50; 100,mg/g; mg/g; mg/g; mg/g,,
0023-5703_50d14433-cfa1-4dea-bca7-bdb071638194,0023-5703,HUMAN OTC DRUG,Essential Defense Mineral Shield Broad Spectrum SPF 35 Sunscreen,,Titanium Dioxide and Zinc oxide,LOTION,TOPICAL,20160316,,OTC MONOGRAPH NOT FINAL,part352,"Allergan, Inc.",TITANIUM DIOXIDE; ZINC OXIDE,50; 60,mg/g; mg/g,,
0023-5738_832cc9a1-e194-4203-aa96-991a3286e1a6,0023-5738,HUMAN OTC DRUG,Essential Defense Everyday Clear Broad Spectrum SPF 47 Sunscreen,,Zinc Oxide and Octinoxate,LOTION,TOPICAL,20160316,,OTC MONOGRAPH NOT FINAL,part352,"Allergan, Inc.",ZINC OXIDE; OCTINOXATE,120; 75,mg/g; mg/g,,
0023-5773_bad13e61-f80c-47f1-a061-f779694e6d56,0023-5773,HUMAN OTC DRUG,REFRESH OPTIVE Mega-3,,"Carboxymethylcellulose sodium, Glycerin and Polysorbate 80",SOLUTION/ DROPS,OPHTHALMIC,20170530,,OTC MONOGRAPH FINAL,part349,"Allergan, Inc.",CARBOXYMETHYLCELLULOSE SODIUM; GLYCERIN; POLYSORBATE 80,5; 10; 5,mg/mL; mg/mL; mg/mL,,
0023-5812_eaf66d81-5c25-404f-a191-3584124f098b,0023-5812,HUMAN PRESCRIPTION DRUG,GELNIQUE,,oxybutynin chloride,GEL,TRANSDERMAL,20170401,,NDA,NDA022204,"Allergan, Inc.",OXYBUTYNIN CHLORIDE,100,mg/g,"Cholinergic Muscarinic Antagonist [EPC],Cholinergic Muscarinic Antagonists [MoA]",
0023-5853_406e9b70-cd62-4418-b188-5e6524f52d51,0023-5853,HUMAN PRESCRIPTION DRUG,Delzicol,,mesalamine,"CAPSULE, DELAYED RELEASE",ORAL,20160516,,NDA,NDA204412,"Allergan, Inc.",MESALAMINE,400,mg/1,"Aminosalicylate [EPC],Aminosalicylic Acids [Chemical/Ingredient]",
0023-5858_bd4a5328-e0fd-4a6c-8ab9-91ccd591c16c,0023-5858,HUMAN PRESCRIPTION DRUG,LILETTA,,Levonorgestrel,INTRAUTERINE DEVICE,INTRAUTERINE,20160531,,NDA,NDA206229,"Allergan, Inc.",LEVONORGESTREL,52,mg/1,"Inhibit Ovum Fertilization [PE],Progesterone Congeners [Chemical/Ingredient],Progesterone Congeners [Chemical/Ingredient],Progestin [EPC],Progestin-containing Intrauterine Device [EPC]",
0023-5861_eaf66d81-5c25-404f-a191-3584124f098b,0023-5861,HUMAN PRESCRIPTION DRUG,GELNIQUE,,oxybutynin chloride,GEL,TRANSDERMAL,20170401,,NDA,NDA022204,"Allergan, Inc.",OXYBUTYNIN CHLORIDE,100,mg/g,"Cholinergic Muscarinic Antagonist [EPC],Cholinergic Muscarinic Antagonists [MoA]",
0023-5862_65355748-4145-4827-862c-fae9b6cecd68,0023-5862,HUMAN PRESCRIPTION DRUG,Taytulla,,"norethindrone acetate and ethinyl estradiol, and ferrous fumarate",KIT,,20160501,,NDA,NDA204426,"Allergan, Inc.",,,,,
0023-5868_73855eef-00a2-4e3e-9bd7-345b2e679b3d,0023-5868,HUMAN PRESCRIPTION DRUG,Femring,,estradiol acetate,RING,VAGINAL,20160502,,NDA,NDA021367,"Allergan, Inc.",ESTRADIOL ACETATE,0.05,mg/d,"Estradiol Congeners [Chemical/Ingredient],Estrogen [EPC],Estrogen Receptor Agonists [MoA]",
0023-5869_73855eef-00a2-4e3e-9bd7-345b2e679b3d,0023-5869,HUMAN PRESCRIPTION DRUG,Femring,,estradiol acetate,RING,VAGINAL,20160502,,NDA,NDA021367,"Allergan, Inc.",ESTRADIOL ACETATE,0.1,mg/d,"Estradiol Congeners [Chemical/Ingredient],Estrogen [EPC],Estrogen Receptor Agonists [MoA]",
0023-5870_acf749c1-e4bb-4459-b5bc-a9fc497c9823,0023-5870,HUMAN PRESCRIPTION DRUG,Cordran,,Flurandrenolide,TAPE,TOPICAL,20160815,,NDA,NDA016455,"Allergan, Inc.",FLURANDRENOLIDE,4,ug/cm2,"Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]",
0023-5874_12f03cb0-1ed2-45e8-b432-2ef5dcf4faa7,0023-5874,HUMAN PRESCRIPTION DRUG,Byvalson,,nebivolol hydrochloride and valsartan,"TABLET, FILM COATED",ORAL,20160603,,NDA,NDA206302,"Allergan, Inc",NEBIVOLOL HYDROCHLORIDE; VALSARTAN,5; 80,mg/1; mg/1,"Adrenergic beta-Antagonists [MoA],beta-Adrenergic Blocker [EPC],Angiotensin 2 Receptor Antagonists [MoA],Angiotensin 2 Receptor Blocker [EPC]",
0023-5901_7e083ad0-ee99-4e1d-b13a-48786dd3d14d,0023-5901,HUMAN PRESCRIPTION DRUG,Asacol HD,,mesalamine,"TABLET, DELAYED RELEASE",ORAL,20080528,,NDA,NDA021830,"Allergan, Inc.",MESALAMINE,800,mg/1,"Aminosalicylate [EPC],Aminosalicylic Acids [Chemical/Ingredient]",
0023-5902_2fafba3a-f920-439c-a39a-efa83712e6c1,0023-5902,HUMAN PRESCRIPTION DRUG,Trelstar,,triptorelin pamoate,KIT,,20000615,,NDA,NDA020715,"Allergan, Inc.",,,,,
0023-5904_2fafba3a-f920-439c-a39a-efa83712e6c1,0023-5904,HUMAN PRESCRIPTION DRUG,Trelstar,,triptorelin pamoate,KIT,,20010629,,NDA,NDA021288,"Allergan, Inc.",,,,,
0023-5906_2fafba3a-f920-439c-a39a-efa83712e6c1,0023-5906,HUMAN PRESCRIPTION DRUG,Trelstar,,triptorelin pamoate,KIT,,20100311,,NDA,NDA022437,"Allergan, Inc.",,,,,
0023-5920_21b14ebe-ab63-48b5-8306-4392398b15e2,0023-5920,HUMAN PRESCRIPTION DRUG,Nuvessa,,metronidazole,GEL,VAGINAL,20150101,,NDA,NDA205223,"Allergan, Inc.",METRONIDAZOLE,65,mg/5g,"Nitroimidazole Antimicrobial [EPC],Nitroimidazoles [Chemical/Ingredient]",
0023-5970_83697cee-7db6-4b24-a606-7ee2cf757157,0023-5970,HUMAN PRESCRIPTION DRUG,FEMCON Fe,,"norethindrone and ethinyl estradiol, and ferrous fumarate",KIT,,20061101,,NDA,NDA021490,"Allergan, Inc.",,,,,
0023-5990_067e4283-05f5-462e-a0f3-c2b243478c24,0023-5990,HUMAN PRESCRIPTION DRUG,Androderm,,Testosterone,PATCH,TRANSDERMAL,19950929,,NDA,NDA020489,"Allergan, Inc.",TESTOSTERONE,2,mg/d,"Androgen [EPC],Androgen Receptor Agonists [MoA],Androstanes [Chemical/Ingredient]",CIII
0023-5992_067e4283-05f5-462e-a0f3-c2b243478c24,0023-5992,HUMAN PRESCRIPTION DRUG,Androderm,,Testosterone,PATCH,TRANSDERMAL,19950929,,NDA,NDA020489,"Allergan, Inc.",TESTOSTERONE,4,mg/d,"Androgen [EPC],Androgen Receptor Agonists [MoA],Androstanes [Chemical/Ingredient]",CIII
0023-6002_5b392851-6e6d-4e36-bfa7-5f0504703e46,0023-6002,HUMAN PRESCRIPTION DRUG,Norco,,Hydrocodone Bitartrate and Acetaminophen,TABLET,ORAL,20160501,,ANDA,ANDA040099,"Allergan, Inc.",HYDROCODONE BITARTRATE; ACETAMINOPHEN,5; 325,mg/1; mg/1,"Opioid Agonist [EPC],Opioid Agonists [MoA]",CII
0023-6010_5e6ed4d3-8635-4d2c-8359-9b7446a6604d,0023-6010,HUMAN PRESCRIPTION DRUG,Fiorinal with Codeine,,"Butalbital, Aspirin, Caffeine, and Codeine Phosphate",CAPSULE,ORAL,19901026,,NDA,NDA019429,"Allergan, Inc.",BUTALBITAL; ASPIRIN; CAFFEINE; CODEINE PHOSPHATE,50; 325; 40; 50,mg/1; mg/1; mg/1; mg/1,"Barbiturate [EPC],Barbiturates [Chemical/Ingredient],Cyclooxygenase Inhibitors [MoA],Decreased Prostaglandin Production [PE],Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient],Nonsteroidal Anti-inflammatory Drug [EPC],Platelet Aggregation Inhibitor [EPC],Decreased Platelet Aggregation [PE],Central Nervous System Stimulant [EPC],Central Nervous System Stimulation [PE],Methylxanthine [EPC],Xanthines [Chemical/Ingredient],Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CIII
0023-6011_3fca7a7d-b89b-4143-be19-f2be942986f5,0023-6011,HUMAN PRESCRIPTION DRUG,Kadian,,morphine sulfate,"CAPSULE, EXTENDED RELEASE",ORAL,20090407,,NDA,NDA020616,"Allergan, Inc.",MORPHINE SULFATE,10,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII
0023-6012_3fca7a7d-b89b-4143-be19-f2be942986f5,0023-6012,HUMAN PRESCRIPTION DRUG,Kadian,,morphine sulfate,"CAPSULE, EXTENDED RELEASE",ORAL,20090407,,NDA,NDA020616,"Allergan, Inc.",MORPHINE SULFATE,20,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII
0023-6013_3fca7a7d-b89b-4143-be19-f2be942986f5,0023-6013,HUMAN PRESCRIPTION DRUG,Kadian,,morphine sulfate,"CAPSULE, EXTENDED RELEASE",ORAL,20090407,,NDA,NDA020616,"Allergan, Inc.",MORPHINE SULFATE,30,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII
0023-6014_3fca7a7d-b89b-4143-be19-f2be942986f5,0023-6014,HUMAN PRESCRIPTION DRUG,Kadian,,morphine sulfate,"CAPSULE, EXTENDED RELEASE",ORAL,20120507,,NDA,NDA020616,"Allergan, Inc.",MORPHINE SULFATE,40,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII
0023-6015_3fca7a7d-b89b-4143-be19-f2be942986f5,0023-6015,HUMAN PRESCRIPTION DRUG,Kadian,,morphine sulfate,"CAPSULE, EXTENDED RELEASE",ORAL,20090407,,NDA,NDA020616,"Allergan, Inc.",MORPHINE SULFATE,50,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII
0023-6016_3fca7a7d-b89b-4143-be19-f2be942986f5,0023-6016,HUMAN PRESCRIPTION DRUG,Kadian,,morphine sulfate,"CAPSULE, EXTENDED RELEASE",ORAL,20090407,,NDA,NDA020616,"Allergan, Inc.",MORPHINE SULFATE,60,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII
0023-6017_3fca7a7d-b89b-4143-be19-f2be942986f5,0023-6017,HUMAN PRESCRIPTION DRUG,Kadian,,morphine sulfate,"CAPSULE, EXTENDED RELEASE",ORAL,20090407,,NDA,NDA020616,"Allergan, Inc.",MORPHINE SULFATE,80,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII
0023-6018_3fca7a7d-b89b-4143-be19-f2be942986f5,0023-6018,HUMAN PRESCRIPTION DRUG,Kadian,,morphine sulfate,"CAPSULE, EXTENDED RELEASE",ORAL,20090407,,NDA,NDA020616,"Allergan, Inc.",MORPHINE SULFATE,100,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII
0023-6019_3fca7a7d-b89b-4143-be19-f2be942986f5,0023-6019,HUMAN PRESCRIPTION DRUG,Kadian,,morphine sulfate,"CAPSULE, EXTENDED RELEASE",ORAL,20090407,,NDA,NDA020616,"Allergan, Inc.",MORPHINE SULFATE,200,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII
0023-6021_5b392851-6e6d-4e36-bfa7-5f0504703e46,0023-6021,HUMAN PRESCRIPTION DRUG,Norco,,Hydrocodone Bitartrate and Acetaminophen,TABLET,ORAL,20130312,,ANDA,ANDA040148,"Allergan, Inc.",HYDROCODONE BITARTRATE; ACETAMINOPHEN,7.5; 325,mg/1; mg/1,"Opioid Agonist [EPC],Opioid Agonists [MoA]",CII
0023-6022_5b392851-6e6d-4e36-bfa7-5f0504703e46,0023-6022,HUMAN PRESCRIPTION DRUG,Norco,,Hydrocodone Bitartrate and Acetaminophen,TABLET,ORAL,20130312,,ANDA,ANDA040148,"Allergan, Inc.",HYDROCODONE BITARTRATE; ACETAMINOPHEN,10; 325,mg/1; mg/1,"Opioid Agonist [EPC],Opioid Agonists [MoA]",CII
0023-6030_f8487b99-7655-492e-acaf-7eaf1026466e,0023-6030,HUMAN PRESCRIPTION DRUG,GENERESS Fe,,norethindrone and ethinyl estradiol and ferrous fumarate,KIT,ORAL,20111223,,NDA,NDA022573,"Allergan, Inc.",,,,,
0023-6112_7a5b1fc7-b87b-4c12-b579-93a3b8609515,0023-6112,HUMAN PRESCRIPTION DRUG,Zenpep,,"PANCRELIPASE LIPASE, PANCRELIPASE PROTEASE, PANCRELIPASE AMYLASE","CAPSULE, DELAYED RELEASE",ORAL,20170826,,NDA,NDA022210,"Allergan, Inc.",PANCRELIPASE LIPASE; PANCRELIPASE PROTEASE; PANCRELIPASE AMYLASE,20000; 68000; 109000,[USP'U]/1; [USP'U]/1; [USP'U]/1,,
0023-7824_d4e588bc-ab78-4f31-9867-a2d6921c58b7,0023-7824,HUMAN PRESCRIPTION DRUG,Polytrim,,polymyxin b sulfate and trimethoprim sulfate,SOLUTION/ DROPS,OPHTHALMIC,19900123,,NDA,NDA050567,"Allergan, Inc.",POLYMYXIN B SULFATE; TRIMETHOPRIM SULFATE,100000; 1,[USP'U]/mL; mg/mL,"Polymyxin-class Antibacterial [EPC],Polymyxins [Chemical/Ingredient],Dihydrofolate Reductase Inhibitor Antibacterial [EPC],Dihydrofolate Reductase Inhibitors [MoA],Cytochrome P450 2C8 Inhibitors [MoA],Organic Cation Transporter 2 Inhibitors [MoA]",
0023-8335_ca6ba093-8b7e-455a-b9ab-74e249420add,0023-8335,HUMAN PRESCRIPTION DRUG,TAZORAC,,tazarotene,GEL,CUTANEOUS,19970801,,NDA,NDA020600,"Allergan, Inc.",TAZAROTENE,0.5,mg/g,"Retinoid [EPC],Retinoids [Chemical/Ingredient]",
0023-8694_d7a96fba-04c1-4af1-9e4b-6e22d4e1fdd0,0023-8694,HUMAN PRESCRIPTION DRUG,AZELEX,,azelaic acid,CREAM,CUTANEOUS,19960321,,NDA,NDA020428,"Allergan, Inc.",AZELAIC ACID,0.2,g/g,"Decreased Protein Synthesis [PE],Decreased Sebaceous Gland Activity [PE]",
0023-8842_2f35a2aa-54f1-4abb-b1be-056b17a0d3c5,0023-8842,HUMAN PRESCRIPTION DRUG,ALOCRIL,,nedocromil sodium,SOLUTION/ DROPS,OPHTHALMIC,20000203,,NDA,NDA021009,"Allergan, Inc.",NEDOCROMIL SODIUM,20,mg/mL,"Decreased Histamine Release [PE],Mast Cell Stabilizer [EPC]",
0023-9155_bb6d822b-d39b-40ac-b40c-b29289176c70,0023-9155,HUMAN PRESCRIPTION DRUG,TAZORAC,,tazarotene,CREAM,CUTANEOUS,20001115,,NDA,NDA021184,"Allergan, Inc.",TAZAROTENE,0.5,mg/g,"Retinoid [EPC],Retinoids [Chemical/Ingredient]",
0023-9156_bb6d822b-d39b-40ac-b40c-b29289176c70,0023-9156,HUMAN PRESCRIPTION DRUG,TAZORAC,,tazarotene,CREAM,CUTANEOUS,20001113,,NDA,NDA021184,"Allergan, Inc.",TAZAROTENE,1,mg/g,"Retinoid [EPC],Retinoids [Chemical/Ingredient]",
0023-9163_5a4081c8-5d62-44b3-b72f-36c03f2c86a8,0023-9163,HUMAN PRESCRIPTION DRUG,RESTASIS,,cyclosporine,EMULSION,OPHTHALMIC,20030401,,NDA,NDA050790,"Allergan, Inc.",CYCLOSPORINE,0.5,mg/mL,"Calcineurin Inhibitor Immunosuppressant [EPC],Calcineurin Inhibitors [MoA],Cytochrome P450 3A4 Inhibitors [MoA],P-Glycoprotein Inhibitors [MoA]",
0023-9177_5aef5742-0096-4aee-ab72-1f21d83a3f23,0023-9177,HUMAN PRESCRIPTION DRUG,ALPHAGAN P,,brimonidine tartrate,SOLUTION/ DROPS,OPHTHALMIC,20010710,,NDA,NDA021262,"Allergan, Inc.",BRIMONIDINE TARTRATE,1.5,mg/mL,"Adrenergic alpha-Agonists [MoA],alpha-Adrenergic Agonist [EPC]",
0023-9201_75ad94a2-5508-443e-8143-2bb27a7e2466,0023-9201,HUMAN PRESCRIPTION DRUG,ELESTAT,,epinastine hydrochloride,SOLUTION/ DROPS,OPHTHALMIC,20040119,,NDA,NDA021565,"Allergan, Inc.",EPINASTINE HYDROCHLORIDE,0.5,mg/mL,"Adrenergic Agonists [MoA],Adrenergic Receptor Agonist [EPC],Decreased Histamine Release [PE],Histamine H1 Receptor Antagonists [MoA],Histamine-1 Receptor Inhibitor [EPC]",
0023-9205_29dd09ac-bec3-4956-b98a-28d254e496e2,0023-9205,HUMAN OTC DRUG,REFRESH LIQUIGEL,,Carboxymethylcellulose sodium,GEL,OPHTHALMIC,20011004,,OTC MONOGRAPH FINAL,part349,"Allergan, Inc.",CARBOXYMETHYLCELLULOSE SODIUM,10,mg/mL,,
0023-9211_923b2701-ec40-40c4-85cb-f6642b687d12,0023-9211,HUMAN PRESCRIPTION DRUG,COMBIGAN,,"brimonidine tartrate, timolol maleate",SOLUTION/ DROPS,OPHTHALMIC,20071114,,NDA,NDA021398,"Allergan, Inc.",BRIMONIDINE TARTRATE; TIMOLOL MALEATE,2; 5,mg/mL; mg/mL,"Adrenergic beta-Antagonists [MoA],beta-Adrenergic Blocker [EPC],Adrenergic alpha-Agonists [MoA],alpha-Adrenergic Agonist [EPC]",
0023-9232_58f75fa7-b008-4f19-88a1-cf0785a871bc,0023-9232,HUMAN PRESCRIPTION DRUG,BOTOX Cosmetic,,onabotulinumtoxinA,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAMUSCULAR,20080520,,BLA,BLA103000,"Allergan, Inc.",BOTULINUM TOXIN TYPE A,100,[USP'U]/1,"Acetylcholine Release Inhibitor [EPC],Acetylcholine Release Inhibitors [MoA]",
0023-9236_a2e46dae-939c-4984-a003-59e0d00f18b4,0023-9236,HUMAN PRESCRIPTION DRUG,AVAGE,,tazarotene,CREAM,CUTANEOUS,20030107,,NDA,NDA021184,"Allergan, Inc.",TAZAROTENE,1,mg/g,"Retinoid [EPC],Retinoids [Chemical/Ingredient]",
0023-9277_afd04991-4a94-41a7-94dc-2fcb5a632ede,0023-9277,HUMAN PRESCRIPTION DRUG,ACULAR LS,,ketorolac tromethamine,SOLUTION/ DROPS,OPHTHALMIC,20030819,,NDA,NDA021528,"Allergan, Inc.",KETOROLAC TROMETHAMINE,4,mg/mL,"Cyclooxygenase Inhibitors [MoA],Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient],Nonsteroidal Anti-inflammatory Drug [EPC],Cyclooxygenase Inhibitor [EPC]",
0023-9321_5aef5742-0096-4aee-ab72-1f21d83a3f23,0023-9321,HUMAN PRESCRIPTION DRUG,ALPHAGAN P,,brimonidine tartrate,SOLUTION/ DROPS,OPHTHALMIC,20060125,,NDA,NDA021770,"Allergan, Inc.",BRIMONIDINE TARTRATE,1,mg/mL,"Adrenergic alpha-Agonists [MoA],alpha-Adrenergic Agonist [EPC]",
0024-0335_4b1bd4df-00b7-4620-9dc5-bce675a412eb,0024-0335,HUMAN PRESCRIPTION DRUG,Demerol,,Meperidine Hydrochloride,TABLET,ORAL,19421110,,NDA,NDA005010,sanofi-aventis U.S. LLC,MEPERIDINE HYDROCHLORIDE,50,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII
0024-0335_e880e6cc-4018-4bea-a722-b8c94a588b34,0024-0335,HUMAN PRESCRIPTION DRUG,Demerol,,Meperidine Hydrochloride,TABLET,ORAL,20130401,,NDA,NDA005010,sanofi-aventis U.S. LLC,MEPERIDINE HYDROCHLORIDE,50,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII
0024-0337_4b1bd4df-00b7-4620-9dc5-bce675a412eb,0024-0337,HUMAN PRESCRIPTION DRUG,Demerol,,Meperidine Hydrochloride,TABLET,ORAL,19421110,,NDA,NDA005010,sanofi-aventis U.S. LLC,MEPERIDINE HYDROCHLORIDE,100,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII
0024-0337_e880e6cc-4018-4bea-a722-b8c94a588b34,0024-0337,HUMAN PRESCRIPTION DRUG,Demerol,,Meperidine Hydrochloride,TABLET,ORAL,20120521,,NDA,NDA005010,sanofi-aventis U.S. LLC,MEPERIDINE HYDROCHLORIDE,100,mg/1,"Full Opioid Agonists [MoA],Opioid Agonist [EPC]",CII
0024-0393_f62652bd-9c05-486a-a753-ed2972f1cfde,0024-0393,HUMAN PRESCRIPTION DRUG,DRISDOL,,Ergocalciferol,"CAPSULE, LIQUID FILLED",ORAL,19741111,,NDA,NDA003444,sanofi-aventis U.S. LLC,ERGOCALCIFEROL,1.25,mg/1,"Ergocalciferols [Chemical/Ingredient],Provitamin D2 Compound [EPC]",
0024-0590_1dcf6847-980e-4e6f-a5ae-926a1706e248,0024-0590,HUMAN PRESCRIPTION DRUG,ELOXATIN,,oxaliplatin,"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,20060602,,NDA,NDA021759,sanofi-aventis U.S. LLC,OXALIPLATIN,5,mg/mL,"Platinum-based Drug [EPC],Platinum-containing Compounds [Chemical/Ingredient]",
0024-0591_1dcf6847-980e-4e6f-a5ae-926a1706e248,0024-0591,HUMAN PRESCRIPTION DRUG,ELOXATIN,,oxaliplatin,"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,20060602,,NDA,NDA021759,sanofi-aventis U.S. LLC,OXALIPLATIN,5,mg/mL,"Platinum-based Drug [EPC],Platinum-containing Compounds [Chemical/Ingredient]",
0024-1535_1d226524-68e6-4137-930c-7d2760c7ff39,0024-1535,HUMAN PRESCRIPTION DRUG,Phisohex,,hexachlorophene,EMULSION,TOPICAL,19760611,,NDA,NDA006882,sanofi-aventis U.S. LLC,HEXACHLOROPHENE,30,mg/mL,Antiseptic [EPC],
0024-1562_c91c752e-ad6d-4b17-b1b5-2edc8a86856c,0024-1562,HUMAN PRESCRIPTION DRUG,Plaquenil,,Hydroxychloroquine Sulfate,"TABLET, FILM COATED",ORAL,19550418,,NDA,NDA009768,sanofi-aventis U.S. LLC,HYDROXYCHLOROQUINE SULFATE,200,mg/1,"Antirheumatic Agent [EPC],Antimalarial [EPC]",
0024-1596_e98f9e68-e83d-43f1-8add-a0b9cc5614b9,0024-1596,HUMAN PRESCRIPTION DRUG,Primaquine Phosphate,,Primaquine Phosphate,"TABLET, FILM COATED",ORAL,20110415,,NDA,NDA008316,sanofi-aventis U.S. LLC,PRIMAQUINE PHOSPHATE,15,mg/1,Antimalarial [EPC],
0024-2792_d4a8b488-b33f-456d-bb00-4932fe4cebda,0024-2792,HUMAN PRESCRIPTION DRUG,Ferrlecit,,sodium ferric gluconate complex,INJECTION,INTRAVENOUS,20110301,,NDA,NDA020955,sanofi-aventis U.S. LLC,SODIUM FERRIC GLUCONATE COMPLEX,12.5,mg/mL,"Iron [Chemical/Ingredient],Parenteral Iron Replacement [EPC],Phosphate Binder [EPC],Phosphate Chelating Activity [MoA]",
0024-2794_586f2e14-e9ca-4669-ad40-54ec070ec78e,0024-2794,HUMAN PRESCRIPTION DRUG,Ferrlecit,,sodium ferric gluconate complex,INJECTION,INTRAVENOUS,20140707,,NDA,NDA020955,sanofi-aventis U.S. LLC,SODIUM FERRIC GLUCONATE COMPLEX,12.5,mg/mL,"Iron [Chemical/Ingredient],Parenteral Iron Replacement [EPC],Phosphate Binder [EPC],Phosphate Chelating Activity [MoA]",
0024-4142_63ea5a96-12b8-47be-8977-8c40ff8f5b5f,0024-4142,HUMAN PRESCRIPTION DRUG,Multaq,,Dronedarone,"TABLET, FILM COATED",ORAL,20090701,,NDA,NDA022425,sanofi-aventis U.S. LLC,DRONEDARONE,400,mg/1,"Antiarrhythmic [EPC],Cytochrome P450 3A Inhibitors [MoA],Cytochrome P450 2D6 Inhibitors [MoA],P-Glycoprotein Inhibitors [MoA]",
0024-5150_3917e906-51a8-4162-850b-e1b2b25141eb,0024-5150,HUMAN PRESCRIPTION DRUG,Elitek,,rasburicase,KIT,,20020712,,BLA,BLA103946,sanofi-aventis U.S. LLC,,,,,
0024-5151_3917e906-51a8-4162-850b-e1b2b25141eb,0024-5151,HUMAN PRESCRIPTION DRUG,Elitek,,rasburicase,KIT,,20060601,,BLA,BLA103940,sanofi-aventis U.S. LLC,,,,,
0024-5401_7c53c16e-bd14-4a14-8194-c6146e86e203,0024-5401,HUMAN PRESCRIPTION DRUG,Ambien,,zolpidem tartrate,"TABLET, FILM COATED",ORAL,19930401,,NDA,NDA019908,sanofi-aventis U.S. LLC,ZOLPIDEM TARTRATE,5,mg/1,"gamma-Aminobutyric Acid-ergic Agonist [EPC],GABA A Agonists [MoA],Pyridines [Chemical/Ingredient],Central Nervous System Depression [PE]",CIV
0024-5421_7c53c16e-bd14-4a14-8194-c6146e86e203,0024-5421,HUMAN PRESCRIPTION DRUG,Ambien,,zolpidem tartrate,"TABLET, FILM COATED",ORAL,19930401,,NDA,NDA019908,sanofi-aventis U.S. LLC,ZOLPIDEM TARTRATE,10,mg/1,"gamma-Aminobutyric Acid-ergic Agonist [EPC],GABA A Agonists [MoA],Pyridines [Chemical/Ingredient],Central Nervous System Depression [PE]",CIV
